item_id,legacy_icon_path,icon_asset_id
acc_phoenix_rebirth_badge,,
acc_phoenix_rebirth_cloak,,
acc_phoenix_rebirth_necklace,,
acc_phoenix_rebirth_ring_1,,
acc_phoenix_rebirth_ring_2,,
acc_phoenix_rebirth_trinket,,
acc_time_traveler_badge,,
acc_time_traveler_cloak,,
acc_time_traveler_necklace,,
acc_time_traveler_ring_1,,
acc_time_traveler_ring_2,,
acc_time_traveler_trinket,,
antidote_herb,res://icon.svg,ui.item.icon.default
armor_phoenix_rebirth_body,,
armor_phoenix_rebirth_feet,,
armor_phoenix_rebirth_hands,,
armor_phoenix_rebirth_head,,
armor_time_traveler_body,,
armor_time_traveler_feet,,
armor_time_traveler_hands,,
armor_time_traveler_head,,
ash_longbow,res://icon.svg,ui.item.icon.default
ash_shortbow,res://icon.svg,ui.item.icon.default
bandage_roll,res://icon.svg,ui.item.icon.default
bandit_insignia,res://icon.svg,ui.item.icon.default
beast_hide,res://icon.svg,ui.item.icon.default
black_crown_core,res://icon.svg,ui.item.icon.default
black_star_wedge,res://icon.svg,ui.item.icon.default
blood_debt_shawl,res://icon.svg,ui.item.icon.default
bronze_sword,res://icon.svg,ui.item.icon.default
calamity_shard,res://icon.svg,ui.item.icon.default
compact_hand_crossbow,res://icon.svg,ui.item.icon.default
curved_scimitar,res://icon.svg,ui.item.icon.default
dead_road_lantern,res://icon.svg,ui.item.icon.default
dragon_scale,res://icon.svg,ui.item.icon.default
duelist_rapier,res://icon.svg,ui.item.icon.default
farmer_sickle,res://icon.svg,ui.item.icon.default
forge_coal,res://icon.svg,ui.item.icon.default
guard_trident,res://icon.svg,ui.item.icon.default
hardwood_lumber,res://icon.svg,ui.item.icon.default
healing_herb,res://icon.svg,ui.item.icon.default
hunting_javelin,res://icon.svg,ui.item.icon.default
iron_dagger,res://icon.svg,ui.item.icon.default
iron_flail,res://icon.svg,ui.item.icon.default
iron_greatclub,res://icon.svg,ui.item.icon.default
iron_greatsword,res://icon.svg,ui.item.icon.default
iron_morningstar,res://icon.svg,ui.item.icon.default
iron_ore,res://icon.svg,ui.item.icon.default
iron_scale_mail,res://icon.svg,ui.item.icon.default
iron_war_pick,res://icon.svg,ui.item.icon.default
iron_warhammer,res://icon.svg,ui.item.icon.default
leather_cap,res://icon.svg,ui.item.icon.default
leather_jerkin,res://icon.svg,ui.item.icon.default
linen_cloth,res://icon.svg,ui.item.icon.default
militia_axe,res://icon.svg,ui.item.icon.default
militia_light_crossbow,res://icon.svg,ui.item.icon.default
militia_spear,res://icon.svg,ui.item.icon.default
moonfern_sample,res://icon.svg,ui.item.icon.default
oak_club,res://icon.svg,ui.item.icon.default
oak_quarterstaff,res://icon.svg,ui.item.icon.default
raider_greataxe,res://icon.svg,ui.item.icon.default
reverse_fate_amulet,res://icon.svg,ui.item.icon.default
scout_charm,res://icon.svg,ui.item.icon.default
sealed_dispatch,res://icon.svg,ui.item.icon.default
siege_heavy_crossbow,res://icon.svg,ui.item.icon.default
smith_light_hammer,res://icon.svg,ui.item.icon.default
soldier_battleaxe,res://icon.svg,ui.item.icon.default
soldier_glaive,res://icon.svg,ui.item.icon.default
soldier_pike,res://icon.svg,ui.item.icon.default
steel_halberd,res://icon.svg,ui.item.icon.default
steel_longsword,res://icon.svg,ui.item.icon.default
stone_maul,res://icon.svg,ui.item.icon.default
torch_bundle,res://icon.svg,ui.item.icon.default
travel_ration,res://icon.svg,ui.item.icon.default
watchman_mace,res://icon.svg,ui.item.icon.default
weapon_unique_axe_bonecrusher_088,res://icon.svg,ui.item.icon.default
weapon_unique_axe_butcher_094,res://icon.svg,ui.item.icon.default
weapon_unique_axe_dragonbone_096,res://icon.svg,ui.item.icon.default
weapon_unique_axe_echo_095,res://icon.svg,ui.item.icon.default
weapon_unique_axe_frostbite_097,res://icon.svg,ui.item.icon.default
weapon_unique_axe_glutton_090,res://icon.svg,ui.item.icon.default
weapon_unique_axe_plague_tongue_099,res://icon.svg,ui.item.icon.default
weapon_unique_axe_shieldbreaker_098,res://icon.svg,ui.item.icon.default
weapon_unique_axe_starfragment_100,res://icon.svg,ui.item.icon.default
weapon_unique_axe_storms_eye_091,res://icon.svg,ui.item.icon.default
weapon_unique_axe_thunderfang_086,res://icon.svg,ui.item.icon.default
weapon_unique_battleaxe_dragon_scale,res://icon.svg,ui.item.icon.default
weapon_unique_battleaxe_hunter_382,res://icon.svg,ui.item.icon.default
weapon_unique_battleaxe_lumberjack_383,res://icon.svg,ui.item.icon.default
weapon_unique_battleaxe_lunareclipse,res://icon.svg,ui.item.icon.default
weapon_unique_bow_phoenix_330,res://icon.svg,ui.item.icon.default
weapon_unique_bow_scorpion_339,res://icon.svg,ui.item.icon.default
weapon_unique_bow_thunderbow_156,res://icon.svg,ui.item.icon.default
weapon_unique_bow_titanbow_173,res://icon.svg,ui.item.icon.default
weapon_unique_bow_windbow_151,res://icon.svg,ui.item.icon.default
weapon_unique_bow_wolf_325,res://icon.svg,ui.item.icon.default
weapon_unique_crossbow_gorgon_329,res://icon.svg,ui.item.icon.default
weapon_unique_exotic_umbrella_232,res://icon.svg,ui.item.icon.default
weapon_unique_greataxe_executioner_384,res://icon.svg,ui.item.icon.default
weapon_unique_greataxe_mountainbreaker,res://icon.svg,ui.item.icon.default
weapon_unique_greataxe_rustanchor,res://icon.svg,ui.item.icon.default
weapon_unique_greataxe_void,res://icon.svg,ui.item.icon.default
weapon_unique_greatsword_giants_heel_024,res://icon.svg,ui.item.icon.default
weapon_unique_hammer_tremor_102,res://icon.svg,ui.item.icon.default
weapon_unique_longsword_courage,res://icon.svg,ui.item.icon.default
weapon_unique_longsword_eternity_edge,res://icon.svg,ui.item.icon.default
weapon_unique_longsword_smiths_regret,res://icon.svg,ui.item.icon.default
weapon_unique_mace_frost_207,res://icon.svg,ui.item.icon.default
weapon_unique_morningstar_flame_208,res://icon.svg,ui.item.icon.default
weapon_unique_morningstar_viper_206,res://icon.svg,ui.item.icon.default
weapon_unique_polearm_rock_halberd_148,res://icon.svg,ui.item.icon.default
weapon_unique_polearm_spider_spear_136,res://icon.svg,ui.item.icon.default
weapon_unique_polearm_thunder_halberd_137,res://icon.svg,ui.item.icon.default
weapon_unique_rapier_memoryeater_vine,res://icon.svg,ui.item.icon.default
weapon_unique_sands_time_480,res://icon.svg,ui.item.icon.default
weapon_unique_shortsword_cowardice,res://icon.svg,ui.item.icon.default
weapon_unique_sword_double_edged_263,res://icon.svg,ui.item.icon.default
weapon_unique_sword_glory_261,res://icon.svg,ui.item.icon.default
weapon_unique_sword_heartbane_004,res://icon.svg,ui.item.icon.default
weapon_unique_sword_last_lesson_020,res://icon.svg,ui.item.icon.default
weapon_unique_sword_oathscar_003,res://icon.svg,ui.item.icon.default
weapon_unique_sword_ravenplume_017,res://icon.svg,ui.item.icon.default
weapon_unique_sword_rustoath_006,res://icon.svg,ui.item.icon.default
weapon_unique_sword_starfell_016,res://icon.svg,ui.item.icon.default
weapon_unique_sword_threadweaver_019,res://icon.svg,ui.item.icon.default
weapon_unique_sword_twilight_edge_005,res://icon.svg,ui.item.icon.default
weapon_unique_sword_wyrmbreak_007,res://icon.svg,ui.item.icon.default
weapon_unique_warhammer_sacred_408,res://icon.svg,ui.item.icon.default
whetstone,res://icon.svg,ui.item.icon.default
